Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
BONGSOPOTRO,572,2089,0+100,0+200,572,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BONGSOPOTRO,573,2089,0+200,0+300,573,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BONGSOPOTRO,574,2089,0+300,0+400,574,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BONGSOPOTRO,575,2089,0+400,0+500,575,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BONGSOPOTRO,576,2089,0+500,0+600,576,,,,,
BONGSOPOTRO,577,2089,0+600,0+700,577,,,,,
BONGSOPOTRO,578,2089,0+700,0+800,578,,,,,
BONGSOPOTRO,579,2089,0+800,0+900,579,,,,,
BONGSOPOTRO,580,2089,0+900,1+000,580,,,,,
BONGSOPOTRO,581,2089,1+000,1+100,581,,,,,
BONGSOPOTRO,582,2089,1+100,1+200,582,,,,,
BONGSOPOTRO,583,2089,1+200,1+300,583,,,,,
BONGSOPOTRO,584,2089,1+300,1+400,584,,,,,
BONGSOPOTRO,585,2089,1+400,1+500,585,,,,,
BONGSOPOTRO,586,2089,1+500,1+600,586,,,,,
BONGSOPOTRO,587,2089,1+600,1+700,587,,,,,
BONGSOPOTRO,588,2089,1+700,1+800,588,,,,,
BONGSOPOTRO,589,2089,1+800,1+900,589,,,,,
BONGSOPOTRO,590,2089,1+900,2+000,590,,,,,
BONGSOPOTRO,591,2089,2+000,2+088,591,,,,,
BULAKREJO,1119,469,0+000,0+100,1119,,,,,
BULAKREJO,1120,469,0+100,0+200,1120,,,,,
BULAKREJO,1121,469,0+200,0+300,1121,,,,,
BULAKREJO,1122,469,0+300,0+400,1122,,,,,
BULAKREJO,1123,469,0+400,0+469,1123,,,,,
CANDIMULYO,143,806,0+000,0+100,143,,,,,
CANDIMULYO,144,806,0+100,0+200,144,,,,,
CANDIMULYO,145,806,0+200,0+300,145,,,,,
CANDIMULYO,146,806,0+300,0+400,146,,,,,
CANDIMULYO,147,806,0+400,0+500,147,,,,,
CANDIMULYO,148,806,0+500,0+600,148,,,,,
CANDIMULYO,149,806,0+600,0+700,149,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
CANDIMULYO,150,806,0+700,0+800,150,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
CANDIMULYO,151,806,0+800,0+805,151,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DARMOREJO,838,496,0+300,0+400,838,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DARMOREJO,839,496,0+000,0+100,839,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DARMOREJO,840,496,0+100,0+200,840,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DARMOREJO,841,496,0+200,0+300,841,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DARMOREJO,842,496,0+400,0+495,842,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DAWUHAN,820,1770,0+000,0+100,820,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DAWUHAN,821,1770,0+100,0+200,821,,,,,
DAWUHAN,822,1770,0+200,0+300,822,,,,,
DAWUHAN,823,1770,0+300,0+400,823,,,,,
DAWUHAN,824,1770,0+400,0+500,824,,,,,
DAWUHAN,825,1770,0+500,0+600,825,,,,,
DAWUHAN,826,1770,0+600,0+700,826,,,,,
DAWUHAN,827,1770,0+700,0+800,827,,,,,
DAWUHAN,828,1770,0+800,0+900,828,,,,,
DAWUHAN,829,1770,0+900,1+000,829,,,,,
DAWUHAN,830,1770,1+000,1+100,830,,,,,
DAWUHAN,831,1770,1+100,1+200,831,,,,,
DAWUHAN,832,1770,1+200,1+300,832,,,,,
DAWUHAN,833,1770,1+300,1+400,833,,,,,
DAWUHAN,834,1770,1+400,1+500,834,,,,,
DAWUHAN,835,1770,1+500,1+600,835,,,,,
DAWUHAN,836,1770,1+600,1+700,836,,,,,
DAWUHAN,837,1770,1+700,1+769,837,,,,,
DEMPELAN,1380,628,0+000,0+100,1380,,,,,
DEMPELAN,1381,628,0+100,0+200,1381,,,,,
DEMPELAN,1382,628,0+200,0+300,1382,,,,,
DEMPELAN,1383,628,0+300,0+400,1383,,,,,
DEMPELAN,1384,628,0+400,0+500,1384,,,,,
DEMPELAN,1385,628,0+500,0+600,1385,,,,,
DEMPELAN,1386,628,0+600,0+628,1386,,,,,
DOHO,152,1524,0+000,0+100,152,,,,,
DOHO,153,1524,0+100,0+200,153,,,,,
DOHO,154,1524,0+200,0+300,154,,,,,
DOHO,155,1524,0+300,0+400,155,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,156,1524,0+400,0+500,156,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,157,1524,0+500,0+600,157,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,158,1524,0+600,0+700,158,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,159,1524,0+700,0+800,159,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,160,1524,0+800,0+900,160,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,161,1524,0+900,1+000,161,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,162,1524,1+000,1+100,162,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,163,1524,1+100,1+200,163,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DOHO,164,1524,1+200,1+300,164,,,,,
DOHO,165,1524,1+300,1+400,165,,,,,
DOHO,166,1524,1+400,1+500,166,,,,,
DOHO,167,1524,1+500,1+524,167,,,,,
DOLOPO I,175,570,0+000,0+100,175,,,,,
DOLOPO I,176,570,0+100,0+200,176,,,,,
DOLOPO I,177,570,0+200,0+300,177,,,,,
DOLOPO I,178,570,0+300,0+400,178,,,,,
DOLOPO I,179,570,0+400,0+500,179,,,,,
DOLOPO I,180,570,0+500,0+500,180,,,,,
DOLOPO II,192,635,0+000,0+100,192,,,,,
DOLOPO II,193,635,0+100,0+200,193,,,,,
DOLOPO II,194,635,0+200,0+300,194,,,,,
DOLOPO II,195,635,0+300,0+400,195,,,,,
DOLOPO II,196,635,0+400,0+500,196,,,,,
DOLOPO II,197,635,0+500,0+600,197,,,,,
DOLOPO II,198,635,0+600,0+634,198,,,,,
DUREN I,794,921,0+000,0+100,794,,,,,
DUREN I,795,921,0+100,0+200,795,,,,,
DUREN I,796,921,0+200,0+300,796,,,,,
DUREN I,797,921,0+300,0+400,797,,,,,
DUREN I,798,921,0+400,0+500,798,,,,,
DUREN I,799,921,0+500,0+600,799,,,,,
DUREN I,800,921,0+600,0+700,800,,,,,
DUREN I,801,921,0+700,0+800,801,,,,,
DUREN I,802,921,0+800,0+900,802,,,,,
DUREN I,803,921,0+900,0+912,803,,,,,
DUREN II,804,1599,0+000,0+100,804,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,805,1599,0+100,0+200,805,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,806,1599,0+200,0+300,806,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,807,1599,0+300,0+400,807,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,808,1599,0+400,0+500,808,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,809,1599,0+500,0+600,809,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,810,1599,0+600,0+700,810,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,811,1599,0+700,0+800,811,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,812,1599,0+800,0+900,812,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DUREN II,813,1599,0+900,1+000,813,,,,,
DUREN II,814,1599,1+000,1+100,814,,,,,
DUREN II,815,1599,1+100,1+200,815,,,,,
DUREN II,816,1599,1+200,1+300,816,,,,,
DUREN II,817,1599,1+300,1+400,817,,,,,
DUREN II,818,1599,1+400,1+500,818,,,,,
DUREN II,819,1599,1+500,1+599,819,,,,,
DURENAN I,478,1725,0+000,0+100,478,,,,,
DURENAN I,479,1725,0+100,0+200,479,,,,,
DURENAN I,480,1725,0+200,0+300,480,,,,,
DURENAN I,481,1725,0+300,0+400,481,,,,,
DURENAN I,482,1725,0+400,0+500,482,,,,,
DURENAN I,483,1725,0+500,0+600,483,,,,,
DURENAN I,484,1725,0+600,0+700,484,,,,,
DURENAN I,485,1725,0+700,0+800,485,,,,,
DURENAN I,486,1725,0+800,0+900,486,,,,,
DURENAN I,487,1725,0+900,1+000,487,,,,,
DURENAN I,488,1725,1+000,1+100,488,,,,,
DURENAN I,489,1725,1+100,1+200,489,,,,,
DURENAN I,490,1725,1+200,1+300,490,,,,,
DURENAN I,491,1725,1+300,1+400,491,,,,,
DURENAN I,492,1725,1+400,1+500,492,,,,,
DURENAN I,493,1725,1+500,1+600,493,,,,,
DURENAN I,494,1725,1+600,1+700,494,,,,,
DURENAN I,495,1725,1+700,1+724,495,,,,,
DURENAN II,496,1439,0+000,0+100,496,,,,,
DURENAN II,497,1439,0+100,0+200,497,,,,,
DURENAN II,498,1439,0+200,0+300,498,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DURENAN II,499,1439,0+300,0+400,499,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DURENAN II,500,1439,0+400,0+500,500,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DURENAN II,501,1439,0+500,0+600,501,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
DURENAN II,502,1439,0+600,0+700,502,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
