No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
1374,BETEK,,1773,1+200,1+300,,sedang,beton,4,,2022,,,,
1375,BETEK,,1773,1+300,1+400,,sedang,beton,4,,2022,,,,
1376,BETEK,,1773,1+400,1+500,,sedang,beton,4,,2022,,,,
1377,BETEK,,1773,1+500,1+600,,RR,beton,4,,2022,,,,
1378,BETEK,,1773,1+600,1+700,,RR,beton,4,,2022,,,,
1379,BETEK,,1773,1+700,1+772,,RR,aspal,4,,2022,,,,
208,BLIMBING,,516,0+000,0+100,,RR,aspal,4,,2022,,,,
209,BLIMBING,,516,0+100,0+200,,RR,aspal,4,,2022,,,,
210,BLIMBING,,516,0+200,0+300,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
211,BLIMBING,,516,0+300,0+400,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
212,BLIMBING,,516,0+400,0+500,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
213,BLIMBING,,516,0+500,0+515,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
571,BONGSOPOTRO,,2089,0+000,0+100,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
572,BONGSOPOTRO,,2089,0+100,0+200,,RB,aspal,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
573,BONGSOPOTRO,,2089,0+200,0+300,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
574,BONGSOPOTRO,,2089,0+300,0+400,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
575,BONGSOPOTRO,,2089,0+400,0+500,,RB,makadam,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
576,BONGSOPOTRO,,2089,0+500,0+600,,baik,makadam,4,,2022,,,,
577,BONGSOPOTRO,,2089,0+600,0+700,,baik,makadam,4,,2022,,,,
578,BONGSOPOTRO,,2089,0+700,0+800,,baik,lapen,4,,2022,,,,
579,BONGSOPOTRO,,2089,0+800,0+900,,baik,lapen,4,,2022,,,,
580,BONGSOPOTRO,,2089,0+900,1+000,,baik,lapen,4,,2022,,,,
581,BONGSOPOTRO,,2089,1+000,1+100,,baik,lapen,4,,2022,,,,
582,BONGSOPOTRO,,2089,1+100,1+200,,baik,lapen,4,,2022,,,,
583,BONGSOPOTRO,,2089,1+200,1+300,,baik,lapen,4,,2022,,,,
584,BONGSOPOTRO,,2089,1+300,1+400,,baik,lapen,4,,2022,,,,
585,BONGSOPOTRO,,2089,1+400,1+500,,baik,lapen,4,,2022,,,,
586,BONGSOPOTRO,,2089,1+500,1+600,,baik,lapen,4,,2022,,,,
587,BONGSOPOTRO,,2089,1+600,1+700,,baik,tanah,4,,2022,,,,
588,BONGSOPOTRO,,2089,1+700,1+800,,baik,tanah,4,,2022,,,,
589,BONGSOPOTRO,,2089,1+800,1+900,,sedang,tanah,4,,2022,,,,
590,BONGSOPOTRO,,2089,1+900,2+000,,sedang,tanah,4,,2022,,,,
591,BONGSOPOTRO,,2089,2+000,2+088,,sedang,tanah,4,,2022,,,,
1119,BULAKREJO,,469,0+000,0+100,,sedang,tanah,4,,2022,,,,
1120,BULAKREJO,,469,0+100,0+200,,sedang,beton,4,,2022,,,,
1121,BULAKREJO,,469,0+200,0+300,,sedang,beton,4,,2022,,,,
