No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
31,"Jl. Klitik-Dimong",001,8,2+900,3+000,,RR,tanah,6,,2022,,,,
32,"Jl. Klitik-Dimong",001,8,3+000,3+100,,RR,tanah,6,,2022,,,,
33,"Jl. Klitik-Dimong",001,8,3+100,3+200,,RR,tanah,6,,2022,,,,
34,"Jl. Klitik-Dimong",001,8,3+200,3+300,,RR,tanah,6,,2022,,,,
35,"Jl. Klitik-Dimong",001,8,3+300,3+400,,RR,tanah,6,,2022,,,,
36,"Jl. Klitik-Dimong",001,8,3+400,3+500,,RR,tanah,6,,2022,,,,
37,"Jl. Klitik-Dimong",001,8,3+500,3+600,,RR,tanah,6,,2022,,,,
38,"Jl. Klitik-Dimong",001,8,3+600,3+700,,RR,tanah,6,,2022,,,,
39,"Jl. Klitik-Dimong",001,8,3+700,3+800,,RR,tanah,6,,2022,,,,
40,"Jl. Klitik-Dimong",001,8,3+800,3+900,,RR,tanah,6,,2022,,,,
41,"Jl. Klitik-Dimong",001,8,3+900,4+000,,RR,tanah,6,,2022,,,,
42,"Jl. Klitik-Dimong",001,8,4+000,4+100,,RR,tanah,6,,2022,,,,
43,"Jl. Klitik-Dimong",001,8,4+100,4+200,,RR,tanah,6,,2022,,,,
44,"Jl. Klitik-Dimong",001,8,4+200,4+300,,RR,tanah,6,,2022,,,,
45,"Jl. Klitik-Dimong",001,8,4+300,4+400,,RR,tanah,6,,2022,,,,
46,"Jl. Klitik-Dimong",001,8,4+400,4+500,,RR,tanah,6,,2022,,,,
47,"Jl. Klitik-Dimong",001,8,4+500,4+600,,RR,tanah,6,,2022,,,,
48,"Jl. Klitik-Dimong",001,8,4+600,4+700,,RR,tanah,6,,2022,,,,
49,"Jl. Klitik-Dimong",001,8,4+700,4+800,,RR,tanah,6,,2022,,,,
50,"Jl. Klitik-Dimong",001,8,4+800,4+900,,RR,tanah,6,,2022,,,,
51,"Jl. Klitik-Dimong",001,8,4+900,5+000,,RR,tanah,6,,2022,,,,
