STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
1+600;1+700;RB;3.5;WARUREJO I;2158;makadam;1080
1+700;1+800;RB;3.5;WARUREJO I;2158;makadam;1081
1+800;1+900;RB;3.5;WARUREJO I;2158;makadam;1082
1+900;2+000;RB;3.5;WARUREJO I;2158;makadam;1083
2+000;2+100;RB;3.5;WARUREJO I;2158;makadam;1084
2+100;2+158;RB;3.5;WARUREJO I;2158;makadam;1085
0+000;0+100;RB;4;WARUREJO II;1085;makadam;1086
0+100;0+200;RB;4;WARUREJO II;1085;makadam;1087
0+200;0+300;RB;4;WARUREJO II;1085;makadam;1088
0+300;0+400;RB;4;WARUREJO II;1085;makadam;1089
0+400;0+500;RB;4;WARUREJO II;1085;makadam;1090
0+500;0+600;RB;4;WARUREJO II;1085;makadam;1091
0+600;0+700;RB;4;WARUREJO II;1085;makadam;1092
0+700;0+800;RB;4;WARUREJO II;1085;makadam;1093
0+800;0+900;RB;4;WARUREJO II;1085;makadam;1094
0+900;1+000;RB;4;WARUREJO II;1085;makadam;1095
1+000;1+085;RB;4;WARUREJO II;1085;makadam;1096
0+000;0+100;baik;3;WAYUT;1350;aspal;75
0+100;0+200;baik;3;WAYUT;1350;aspal;76
0+200;0+300;baik;3;WAYUT;1350;aspal;77
0+300;0+400;baik;3;WAYUT;1350;aspal;78
0+400;0+500;baik;3;WAYUT;1350;aspal;79
0+500;0+600;baik;3;WAYUT;1350;aspal;80
0+600;0+700;baik;3;WAYUT;1350;aspal;81
0+700;0+800;baik;3;WAYUT;1350;aspal;82
0+800;0+900;baik;3;WAYUT;1350;aspal;83
0+900;1+000;baik;3;WAYUT;1350;aspal;84
1+000;1+100;baik;3;WAYUT;1350;aspal;85
1+100;1+200;baik;3;WAYUT;1350;aspal;86
1+200;1+300;RB;3;WAYUT;1350;aspal;87
1+300;1+350;RR;3;WAYUT;1350;aspal;88
0+000;0+100;RR;3;WINONG;2197;aspal;511
0+100;0+200;RR;3;WINONG;2197;aspal;512
0+200;0+300;RR;3;WINONG;2197;aspal;513
0+300;0+400;RR;3;WINONG;2197;aspal;514
0+400;0+500;RR;3;WINONG;2197;aspal;515
0+500;0+600;RR;3;WINONG;2197;aspal;516
0+600;0+700;RR;3;WINONG;2197;aspal;517
0+700;0+800;RR;3;WINONG;2197;aspal;518
0+800;0+900;RR;3;WINONG;2197;aspal;519
0+900;1+000;RR;3;WINONG;2197;aspal;520
1+000;1+100;RR;3;WINONG;2197;aspal;521
1+100;1+200;RR;3;WINONG;2197;aspal;522
1+200;1+300;RR;3;WINONG;2197;aspal;523
1+300;1+400;RR;3;WINONG;2197;aspal;524
1+400;1+500;RR;3;WINONG;2197;aspal;525
1+500;1+600;RR;3;WINONG;2197;aspal;526
1+600;1+700;RR;3;WINONG;2197;aspal;527
1+700;1+800;RR;3;WINONG;2197;aspal;528
1+800;1+900;RR;3;WINONG;2197;aspal;529
1+900;2+000;RR;3;WINONG;2197;aspal;530
2+000;2+100;RR;3;WINONG;2197;aspal;531
2+100;2+196;RR;3;WINONG;2197;aspal;532
0+000;0+100;baik;3;WONOASRI;865;aspal;947
0+100;0+200;baik;3;WONOASRI;865;aspal;948
0+200;0+300;baik;3;WONOASRI;865;aspal;949
0+300;0+400;RR;3;WONOASRI;865;aspal;950
0+400;0+500;RR;3;WONOASRI;865;aspal;951
0+500;0+600;RR;3;WONOASRI;865;aspal;952
0+600;0+700;RR;3;WONOASRI;865;aspal;953
0+700;0+800;RB;3;WONOASRI;865;aspal;954
0+800;0+800;RR;3;WONOASRI;865;aspal;955
0+000;0+100;baik;3;WONOREJO I;676;aspal;918
0+100;0+200;baik;3;WONOREJO I;676;aspal;919
0+200;0+300;baik;3;WONOREJO I;676;aspal;920
0+300;0+400;baik;3;WONOREJO I;676;aspal;921
0+400;0+500;baik;3;WONOREJO I;676;aspal;922
0+500;0+600;baik;3;WONOREJO I;676;aspal;923
0+600;0+676;sedang;3;WONOREJO I;676;beton;924
0+000;0+100;RB;4;WONOREJO II;1358;tanah;925
0+100;0+200;RB;4;WONOREJO II;1358;tanah;926
0+200;0+300;RB;4;WONOREJO II;1358;tanah;927
0+300;0+400;RB;4;WONOREJO II;1358;tanah;928
0+400;0+500;RB;4;WONOREJO II;1358;tanah;929
0+500;0+600;baik;3;WONOREJO II;1358;aspal;930
0+600;0+700;baik;3;WONOREJO II;1358;aspal;931
0+700;0+800;baik;3;WONOREJO II;1358;aspal;932
0+800;0+900;baik;3;WONOREJO II;1358;aspal;933
0+900;1+000;baik;3;WONOREJO II;1358;aspal;934
1+000;1+100;baik;3;WONOREJO II;1358;aspal;935
1+100;1+200;baik;3;WONOREJO II;1358;aspal;936
1+200;1+300;baik;3;WONOREJO II;1358;aspal;937
1+300;1+358;baik;3;WONOREJO II;1358;aspal;938
