No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
10,4001 - JL. PATIMURA,,951,0+900,0+951,,baik,tanah,5,,2022,,,,
12,4002 - JL. LETJEN SUTOYO,,767,0+000,0+100,,baik,beton,5,,2022,,,,
13,4002 - JL. LETJEN SUTOYO,,767,0+100,0+200,,baik,beton,5,,2022,,,,
14,4002 - JL. LETJEN SUTOYO,,767,0+200,0+300,,baik,beton,5,,2022,,,,
15,4002 - JL. LETJEN SUTOYO,,767,0+300,0+400,,baik,beton,5,,2022,,,,
16,4002 - JL. LETJEN SUTOYO,,767,0+400,0+500,,baik,beton,5,,2022,,,,
17,4002 - JL. LETJEN SUTOYO,,767,0+500,0+600,,baik,aspal,5,,2022,,,,
18,4002 - JL. LETJEN SUTOYO,,767,0+700,0+767,,baik,aspal,5,,2022,,,,
20,4003 - JL. S. TENDEAN,,1578,0+000,0+100,,baik,aspal,5,,2022,,,,
21,4003 - JL. S. TENDEAN,,1578,0+100,0+200,,baik,aspal,5,,2022,,,,
22,4003 - JL. S. TENDEAN,,1578,0+200,0+300,,sedang,aspal,5,,2022,,,,
23,4003 - JL. S. TENDEAN,,1578,0+300,0+400,,sedang,aspal,5,,2022,,,,
24,4003 - JL. S. TENDEAN,,1578,0+400,0+500,,sedang,aspal,5,,2022,,,,
25,4003 - JL. S. TENDEAN,,1578,0+500,0+600,,sedang,makadam,5,,2022,,,,
26,4003 - JL. S. TENDEAN,,1578,0+600,0+700,,sedang,makadam,5,,2022,,,,
27,4003 - JL. S. TENDEAN,,1578,0+700,0+800,,sedang,makadam,5,,2022,,,,
28,4003 - JL. S. TENDEAN,,1578,0+800,0+900,,sedang,makadam,5,,2022,,,,
29,4003 - JL. S. TENDEAN,,1578,0+900,1+000,,sedang,makadam,5,,2022,,,,
30,4003 - JL. S. TENDEAN,,1578,1+000,1+100,,sedang,makadam,5,,2022,,,,
31,4003 - JL. S. TENDEAN,,1578,1+100,1+200,,sedang,makadam,5,,2022,,,,
32,4003 - JL. S. TENDEAN,,1578,1+200,1+300,,sedang,makadam,5,,2022,,,,
33,4003 - JL. S. TENDEAN,,1578,1+300,1+400,,sedang,makadam,5,,2022,,,,
34,4003 - JL. S. TENDEAN,,1578,1+500,1+577,,sedang,makadam,5,,2022,,,,
36,4004 - JL. DIPONEGORO,,1170,0+000,0+100,,sedang,makadam,5,,2022,,,,
37,4004 - JL. DIPONEGORO,,1170,0+100,0+200,,sedang,lapen,5,,2022,,,,
38,4004 - JL. DIPONEGORO,,1170,0+200,0+300,,sedang,lapen,5,,2022,,,,
39,4004 - JL. DIPONEGORO,,1170,0+300,0+400,,sedang,lapen,5,,2022,,,,
40,4004 - JL. DIPONEGORO,,1170,0+400,0+500,,sedang,lapen,5,,2022,,,,
41,4004 - JL. DIPONEGORO,,1170,0+500,0+600,,sedang,lapen,5,,2022,,,,
42,4004 - JL. DIPONEGORO,,1170,0+600,0+700,,sedang,lapen,5,,2022,,,,
43,4004 - JL. DIPONEGORO,,1170,0+700,0+800,,sedang,lapen,5,,2022,,,,
44,4004 - JL. DIPONEGORO,,1170,0+800,0+900,,RR,tanah,5,,2022,,,,
45,4004 - JL. DIPONEGORO,,1170,0+900,1+000,,RR,tanah,5,,2022,,,,
46,4004 - JL. DIPONEGORO,,1170,1+100,1+170,,RR,tanah,5,,2022,,,,
48,4005 - JL. SINGOLUDRO,,1075,0+000,0+100,,RR,tanah,5,,2022,,,,
49,4005 - JL. SINGOLUDRO,,1075,0+100,0+200,,RR,tanah,5,,2022,,,,
50,4005 - JL. SINGOLUDRO,,1075,0+200,0+300,,RR,beton,5,,2022,,,,
51,4005 - JL. SINGOLUDRO,,1075,0+300,0+400,,RR,beton,5,,2022,,,,
52,4005 - JL. SINGOLUDRO,,1075,0+400,0+500,,RR,beton,5,,2022,,,,
53,4005 - JL. SINGOLUDRO,,1075,0+500,0+600,,RR,beton,5,,2022,,,,
54,4005 - JL. SINGOLUDRO,,1075,0+600,0+700,,RR,beton,5,,2022,,,,
55,4005 - JL. SINGOLUDRO,,1075,0+700,0+800,,RR,aspal,5,,2022,,,,
56,4005 - JL. SINGOLUDRO,,1075,0+800,0+900,,RR,aspal,5,,2022,,,,
57,4005 - JL. SINGOLUDRO,,1075,1+000,1+075,,RR,aspal,5,,2022,,,,
59,4006 - JL. KOL. MARHADI,,695,0+000,0+100,,RR,aspal,5,,2022,,,,
60,4006 - JL. KOL. MARHADI,,695,0+100,0+200,,RR,aspal,5,,2022,,,,
61,4006 - JL. KOL. MARHADI,,695,0+200,0+300,,RR,aspal,5,,2022,,,,
62,4006 - JL. KOL. MARHADI,,695,0+300,0+400,,RR,aspal,5,,2022,,,,
63,4006 - JL. KOL. MARHADI,,695,0+400,0+500,,RR,makadam,5,,2022,,,,
64,4006 - JL. KOL. MARHADI,,695,0+600,0+695,,RR,makadam,5,,2022,,,,
66,4007 - JL. MT. HARYONO,,1625,0+000,0+100,,RR,makadam,5,,2022,,,,
67,4007 - JL. MT. HARYONO,,1625,0+100,0+200,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
68,4007 - JL. MT. HARYONO,,1625,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
69,4007 - JL. MT. HARYONO,,1625,0+300,0+400,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
70,4007 - JL. MT. HARYONO,,1625,0+400,0+500,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
71,4007 - JL. MT. HARYONO,,1625,0+500,0+600,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
72,4007 - JL. MT. HARYONO,,1625,0+600,0+700,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
73,4007 - JL. MT. HARYONO,,1625,0+700,0+800,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
74,4007 - JL. MT. HARYONO,,1625,0+800,0+900,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
75,4007 - JL. MT. HARYONO,,1625,0+900,1+000,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
76,4007 - JL. MT. HARYONO,,1625,1+000,1+100,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
77,4007 - JL. MT. HARYONO,,1625,1+100,1+200,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
78,4007 - JL. MT. HARYONO,,1625,1+200,1+300,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
79,4007 - JL. MT. HARYONO,,1625,1+300,1+400,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
80,4007 - JL. MT. HARYONO,,1625,1+400,1+500,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
81,4007 - JL. MT. HARYONO,,1625,1+600,1+625,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
83,4008 - JL. H. AGUS SALIM,,697,0+000,0+100,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
84,4008 - JL. H. AGUS SALIM,,697,0+100,0+200,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
85,4008 - JL. H. AGUS SALIM,,697,0+200,0+300,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
86,4008 - JL. H. AGUS SALIM,,697,0+300,0+400,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
87,4008 - JL. H. AGUS SALIM,,697,0+400,0+500,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
88,4008 - JL. H. AGUS SALIM,,697,0+600,0+696,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
90,4009 - JL. FLAMBOYAN,,445,0+000,0+100,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
91,4009 - JL. FLAMBOYAN,,445,0+100,0+200,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
92,4009 - JL. FLAMBOYAN,,445,0+200,0+300,,baik,beton,5,,2022,,,,
93,4009 - JL. FLAMBOYAN,,445,0+400,0+444,,baik,beton,5,,2022,,,,
95,4010 - JL. DAHLIA,,118,0+000,0+100,,baik,aspal,5,,2022,,,,
97,4011 - JL. NUSA INDAH,,436,0+000,0+100,,baik,aspal,5,,2022,,,,
98,4011 - JL. NUSA INDAH,,436,0+100,0+200,,baik,aspal,5,,2022,,,,
99,4011 - JL. NUSA INDAH,,436,0+200,0+300,,baik,aspal,5,,2022,,,,
100,4011 - JL. NUSA INDAH,,436,0+400,0+436,,baik,aspal,5,,2022,,,,
102,4012 - JL. KENANGA,,430,0+000,0+100,,baik,aspal,5,,2022,,,,
103,4012 - JL. KENANGA,,430,0+100,0+200,,baik,aspal,5,,2022,,,,
