Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,penanganan,Kondisi_Kini,Perke_Kini
Jl. Dolopo-Mojorejo,007,7.800,1+400,1+500,464,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+500,1+600,465,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+600,1+700,466,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+700,1+800,467,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+800,1+900,468,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,1+900,2+000,469,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+000,2+100,470,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+100,2+200,471,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+200,2+300,472,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+300,2+400,473,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+400,2+500,474,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+500,2+600,475,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+600,2+700,476,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+700,2+800,477,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+800,2+900,478,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,2+900,3+000,479,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Dolopo-Mojorejo,007,7.800,3+000,3+100,480,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
