id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
270,19.109.001,Jembatan Sukorejo VII,Saradan,5.95,7.03,1,Gelagar,7.52569,111.67234,1
271,19.109.002,Jembatan Bener II,Saradan,24.6,4.85,2,Gelagar Komposit,7.51306,111.67607,1
272,19.111.001,Jembatan Kedungmaron I,Pilangkenceng,5.5,7,1,Gorong-Gorong Kotak,7.51294,111.66697,1
273,19.111.002,Jembatan Kedungmaron II,Pilangkenceng,17.5,3,2,Gelagar,7.51336,111.67042,1
274,19.112.001,Jembatan Kenongorejo IV,Pilangkenceng,5.2,4,1,Plat,7.48536,111.67084,3
275,19.114.001,Jembatan Dawuhan I,Pilangkenceng,6.3,4.4,1,Pelengkung,7.485277,111.67902,1
276,19.114.002,Jembatan Dawuhan II,Pilangkenceng,4.5,5.4,1,Gelagar Komposit,7.485038,111.681829,2
277,19.115.001,Jembatan Bulu I,Pilangkenceng,22.7,3.7,2,Rangka,7.48429,111.67453,3
278,19.115.002,Jembatan Bongsopotro III,Pilangkenceng,9.6,4.2,1,Gelagar,7.43821,111.69587,1
279,19.116.001,Jembatan Kenongorejo V,Pilangkenceng,24.65,5.5,1,Gelagar,7.48139,111.66112,1
280,19.117.001,Jembtan Ngengor I,Pilangkenceng,12.5,3.2,1,Gelagar Komposit,7.47567,111.65951,3
281,19.118.001,Jembatan Gandul I,Pilangkenceng,22.95,5.5,1,Gelagar,7.47407,111.65163,1
282,19.119.001,Jembatan Luworo II,Pilangkenceng,48,3,5,Gelagar Komposit,7.47034,111.64198,4
283,19.119.002,Jembatan Luworo III,Pilangkenceng,18.3,4.9,2,Gelagar Komposit,7.45798,111.64346,1
284,19.120.001,Jembatan Kedungbanteng I,Pilangkenceng,46.5,7.95,3,Gelagar,7.47443,111.6323,3
285,19.120.002,Jembatan Kedungbanteng II,Pilangkenceng,2.7,6,1,Gelagar,7.47386,111.63131,1
286,19.120.003,Jembatan Krebet IV,Pilangkenceng,2.7,6.3,1,Plat,7.47357,111.62925,1
287,19.120.004,Jembatan Krebet V,Pilangkenceng,12.83,6.8,1,Gelagar,7.464231,111.628459,2
288,19.121.001,Jembatan Krebet VI,Pilangkenceng,36.5,4.3,3,Gelagar Komposit,7.47384,111.62732,1
289,19.122.001,Jembatan Pilangkenceng I,Pilangkenceng,3.1,3.75,1,Plat,7.49968,111.64124,3
290,19.122.002,Jembatan Gandul II,Pilangkenceng,3.1,4,1,Plat,7.48733,111.64333,1
291,19.122.003,Jembatan Luworo IV,Pilangkenceng,2.5,4.8,1,Plat,7.47938,111.64469,1
292,19.123.001,Jembatan Pulerejo II,Pilangkenceng,3.4,3.15,1,Plat,7.49963,111.63077,2
293,19.124.001,Jembatan Garon III,Mejayan,10.6,6.85,1,Gelagar,7.56451,111.56451,1
294,19.124.002,Jembatan Kaliabu I,Mejayan,8,5.36,1,Gelagar,7.5708,111.65275,1
295,19.124.003,Jembatan Kaliabu II,Mejayan,12,5.7,1,Gelagar,7.57129,111.64937,1
296,19.126.001,Jembatan Kebonagung I,Mejayan,3.65,3.82,1,Gelagar,7.58222,111.68742,1
297,19.126.002,Jembatan Kebonagung II,Mejayan,3.5,4.58,1,Plat,7.58582,111.69187,1
298,19.126.003,Jembatan Kebonagung III,Mejayan,9.4,4.2,2,Gelagar,7.59014,111.69216,1
299,19.126.004,Jembatan Kebonagung IV,Mejayan,16.2,3.62,2,Gelagar Komposit,7.59084,111.69123,1
300,19.126.005,Jembatan Kebonagung V,Mejayan,4.7,3.8,1,Plat,7.59086,111.68952,1
301,19.127.001,Jembatan Blabakan I,Mejayan,7.9,5.54,1,Gelagar,7.56461,111.658546,1
302,19.127.002,Jembatan Wonorejo II,Mejayan,5.2,6.08,1,Gelagar,7.59262,111.67714,1
303,19.127.003,Jembatan Gemarang II,Mejayan,5.55,4.1,1,Gelagar,7.66023,111.67684,1
304,19.128.001,Jembatan Sidomulyo I,Wonoasri,3,7.3,1,Plat,7.57786,111.62575,3
305,19.128.002,Jembatan Plumpungrejo I,Wonoasri,3,4,1,Plat,7.57699,111.63672,4
306,19.129.001,Jembatan Klitik I,Wonoasri,3.1,7.8,1,Plat,7.55251,111.63248,3
307,19.130.001,Jembatan Wonoasri II,Wonoasri,2.9,7.85,1,Pelengkung,7.57051,111.62879,2
308,19.130.002,Jembatan Bancong I,Wonoasri,2,3.6,1,Plat,7.56056,111.63529,1
309,19.131.001,Jembatan Banyukambang III,Wonoasri,3.8,4.75,1,Plat,7.56569,111.6198,2
310,19.131.002,Jembatan Banyukambang IV,Wonoasri,4,3.5,1,Plat,7.56683,111.61515,3
311,19.133.001,Jembatan Banjarsari I,Madiun,10.8,8,1,Gelagar,7.58255,111.56493,1
312,19.133.002,Jembatan Banjarsari II,Madiun,9.8,6.17,1,Gelagar,7.5773,111.57027,2
313,19.133.003,Jembatan Tanjungrejo III,Madiun,2.8,4.05,1,Gelagar,7.57907,111.57994,3
314,19.134.001,Jembatan Kebonagung IV,Balerejo,6.75,4.15,1,Gelagar Komposit,7.57041,111.5989,3
315,19.135.001,Jembatan Kedungrejo III,Balerejo,2.9,7.2,1,Gelagar,7.52387,111.59776,1
316,19.136.001,Jembatan Sogo II,Balerejo,12.1,3.8,1,Gelagar Komposit,7.52905,111.57269,2
317,19.137.001,Jembatan Kedungjati i,Balerejo,3.4,7.4,1,Plat,7.54857,111.58985,1
